outer_fold_id,inner_fold_id,user_id,role,outer_split_policy,inner_split_policy
0,0,user1,test,leave_one_writer_out,grouped_3_fold_inner_validation
0,0,user2,train,leave_one_writer_out,grouped_3_fold_inner_validation
0,0,user3,train,leave_one_writer_out,grouped_3_fold_inner_validation
0,0,user4,val,leave_one_writer_out,grouped_3_fold_inner_validation
0,0,user5,train,leave_one_writer_out,grouped_3_fold_inner_validation
0,1,user1,test,leave_one_writer_out,grouped_3_fold_inner_validation
0,1,user2,val,leave_one_writer_out,grouped_3_fold_inner_validation
0,1,user3,train,leave_one_writer_out,grouped_3_fold_inner_validation
0,1,user4,train,leave_one_writer_out,grouped_3_fold_inner_validation
0,1,user5,train,leave_one_writer_out,grouped_3_fold_inner_validation
0,2,user1,test,leave_one_writer_out,grouped_3_fold_inner_validation
0,2,user2,train,leave_one_writer_out,grouped_3_fold_inner_validation
0,2,user3,val,leave_one_writer_out,grouped_3_fold_inner_validation
0,2,user4,train,leave_one_writer_out,grouped_3_fold_inner_validation
0,2,user5,val,leave_one_writer_out,grouped_3_fold_inner_validation
1,0,user1,train,leave_one_writer_out,grouped_3_fold_inner_validation
1,0,user2,test,leave_one_writer_out,grouped_3_fold_inner_validation
1,0,user3,train,leave_one_writer_out,grouped_3_fold_inner_validation
1,0,user4,val,leave_one_writer_out,grouped_3_fold_inner_validation
1,0,user5,train,leave_one_writer_out,grouped_3_fold_inner_validation
1,1,user1,val,leave_one_writer_out,grouped_3_fold_inner_validation
1,1,user2,test,leave_one_writer_out,grouped_3_fold_inner_validation
1,1,user3,train,leave_one_writer_out,grouped_3_fold_inner_validation
1,1,user4,train,leave_one_writer_out,grouped_3_fold_inner_validation
1,1,user5,train,leave_one_writer_out,grouped_3_fold_inner_validation
1,2,user1,train,leave_one_writer_out,grouped_3_fold_inner_validation
1,2,user2,test,leave_one_writer_out,grouped_3_fold_inner_validation
1,2,user3,val,leave_one_writer_out,grouped_3_fold_inner_validation
1,2,user4,train,leave_one_writer_out,grouped_3_fold_inner_validation
1,2,user5,val,leave_one_writer_out,grouped_3_fold_inner_validation
2,0,user1,train,leave_one_writer_out,grouped_3_fold_inner_validation
2,0,user2,train,leave_one_writer_out,grouped_3_fold_inner_validation
2,0,user3,test,leave_one_writer_out,grouped_3_fold_inner_validation
2,0,user4,val,leave_one_writer_out,grouped_3_fold_inner_validation
2,0,user5,train,leave_one_writer_out,grouped_3_fold_inner_validation
2,1,user1,val,leave_one_writer_out,grouped_3_fold_inner_validation
2,1,user2,train,leave_one_writer_out,grouped_3_fold_inner_validation
2,1,user3,test,leave_one_writer_out,grouped_3_fold_inner_validation
2,1,user4,train,leave_one_writer_out,grouped_3_fold_inner_validation
2,1,user5,val,leave_one_writer_out,grouped_3_fold_inner_validation
2,2,user1,train,leave_one_writer_out,grouped_3_fold_inner_validation
2,2,user2,val,leave_one_writer_out,grouped_3_fold_inner_validation
2,2,user3,test,leave_one_writer_out,grouped_3_fold_inner_validation
2,2,user4,train,leave_one_writer_out,grouped_3_fold_inner_validation
2,2,user5,train,leave_one_writer_out,grouped_3_fold_inner_validation
3,0,user1,val,leave_one_writer_out,grouped_3_fold_inner_validation
3,0,user2,train,leave_one_writer_out,grouped_3_fold_inner_validation
3,0,user3,train,leave_one_writer_out,grouped_3_fold_inner_validation
3,0,user4,test,leave_one_writer_out,grouped_3_fold_inner_validation
3,0,user5,train,leave_one_writer_out,grouped_3_fold_inner_validation
3,1,user1,train,leave_one_writer_out,grouped_3_fold_inner_validation
3,1,user2,val,leave_one_writer_out,grouped_3_fold_inner_validation
3,1,user3,train,leave_one_writer_out,grouped_3_fold_inner_validation
3,1,user4,test,leave_one_writer_out,grouped_3_fold_inner_validation
3,1,user5,train,leave_one_writer_out,grouped_3_fold_inner_validation
3,2,user1,train,leave_one_writer_out,grouped_3_fold_inner_validation
3,2,user2,train,leave_one_writer_out,grouped_3_fold_inner_validation
3,2,user3,val,leave_one_writer_out,grouped_3_fold_inner_validation
3,2,user4,test,leave_one_writer_out,grouped_3_fold_inner_validation
3,2,user5,val,leave_one_writer_out,grouped_3_fold_inner_validation
4,0,user1,train,leave_one_writer_out,grouped_3_fold_inner_validation
4,0,user2,train,leave_one_writer_out,grouped_3_fold_inner_validation
4,0,user3,train,leave_one_writer_out,grouped_3_fold_inner_validation
4,0,user4,val,leave_one_writer_out,grouped_3_fold_inner_validation
4,0,user5,test,leave_one_writer_out,grouped_3_fold_inner_validation
4,1,user1,val,leave_one_writer_out,grouped_3_fold_inner_validation
4,1,user2,train,leave_one_writer_out,grouped_3_fold_inner_validation
4,1,user3,val,leave_one_writer_out,grouped_3_fold_inner_validation
4,1,user4,train,leave_one_writer_out,grouped_3_fold_inner_validation
4,1,user5,test,leave_one_writer_out,grouped_3_fold_inner_validation
4,2,user1,train,leave_one_writer_out,grouped_3_fold_inner_validation
4,2,user2,val,leave_one_writer_out,grouped_3_fold_inner_validation
4,2,user3,train,leave_one_writer_out,grouped_3_fold_inner_validation
4,2,user4,train,leave_one_writer_out,grouped_3_fold_inner_validation
4,2,user5,test,leave_one_writer_out,grouped_3_fold_inner_validation
