user_id,label,json_count,png_count,video_count,manifest_samples,clean_samples,augmented_train_rows
for_bonhi,ঔ,1,1,1,1,1,24
user1,অ,12,12,12,12,12,288
user1,আ,10,10,10,10,10,240
user1,ই,10,10,10,10,10,240
user1,ঈ,10,10,10,10,10,240
user2,অ,11,5,11,11,5,120
user2,আ,10,5,10,10,5,120
user2,ই,10,5,10,10,5,120
user2,ঈ,11,5,11,11,5,120
user3,অ,15,15,15,15,15,360
user3,আ,5,5,5,5,5,120
user4,অ,16,16,16,16,16,384
user4,আ,16,16,16,16,16,384
user4,ই,17,17,17,17,17,408
user4,ঈ,15,15,15,15,15,360
user5,অ,1,0,1,1,0,0
user5,আ,1,0,1,1,0,0
user5,ই,1,0,1,1,0,0
user5,ঈ,1,0,1,1,0,0
