user_id,label,extension,count
for_bonhi,ঔ,json,1
for_bonhi,ঔ,mp4,1
for_bonhi,ঔ,png,1
user1,অ,json,12
user1,অ,mp4,12
user1,অ,png,12
user1,আ,json,10
user1,আ,mp4,10
user1,আ,png,10
user1,ই,json,10
user1,ই,mp4,10
user1,ই,png,10
user1,ঈ,json,10
user1,ঈ,mp4,10
user1,ঈ,png,10
user2,অ,json,11
user2,অ,mp4,11
user2,অ,png,5
user2,আ,json,10
user2,আ,mp4,10
user2,আ,png,5
user2,ই,json,10
user2,ই,mp4,10
user2,ই,png,5
user2,ঈ,json,11
user2,ঈ,mp4,11
user2,ঈ,png,5
user3,অ,json,15
user3,অ,mp4,15
user3,অ,png,15
user3,আ,json,5
user3,আ,mp4,5
user3,আ,png,5
user4,অ,json,16
user4,অ,mp4,16
user4,অ,png,16
user4,আ,json,16
user4,আ,mp4,16
user4,আ,png,16
user4,ই,json,17
user4,ই,mp4,17
user4,ই,png,17
user4,ঈ,json,15
user4,ঈ,mp4,15
user4,ঈ,png,15
user5,অ,json,1
user5,অ,mp4,1
user5,আ,json,1
user5,আ,mp4,1
user5,ই,json,1
user5,ই,mp4,1
user5,ঈ,json,1
user5,ঈ,mp4,1
