outer_fold_id,inner_fold_id,augmented_sample_id,source_sample_id,role,user_id,label,rotation_deg,scale,translation_x,translation_y,jitter_sigma,point_dropout_rate,temporal_warp
0,0,20260703_231939_jmltkn__outer00__inner00__aug01,20260703_231939_jmltkn,train,user1,অ,0.715513,0.939576,-0.019574,0.012478,0.004278,0.035259,1.168058
0,0,20260703_231939_jmltkn__outer00__inner00__aug02,20260703_231939_jmltkn,train,user1,অ,5.224401,1.020603,-0.026632,-0.025502,0.005455,0.068365,0.858724
0,0,20260703_231939_jmltkn__outer00__inner00__aug03,20260703_231939_jmltkn,train,user1,অ,-5.144565,0.938388,-0.040227,0.04547,0.004397,0.075834,0.898879
0,0,20260704_230134_0i7e7o__outer00__inner00__aug01,20260704_230134_0i7e7o,train,user1,অ,-0.389186,1.080719,-0.032817,0.0497,0.005934,0.05046,1.126028
0,0,20260704_230134_0i7e7o__outer00__inner00__aug02,20260704_230134_0i7e7o,train,user1,অ,-3.806685,0.902494,-0.01311,-0.016984,0.006777,0.078594,1.05274
0,0,20260704_230134_0i7e7o__outer00__inner00__aug03,20260704_230134_0i7e7o,train,user1,অ,-5.625126,1.072694,0.037217,-0.010868,0.005956,0.034054,0.899927
0,0,20260704_230207_s0bru0__outer00__inner00__aug01,20260704_230207_s0bru0,train,user1,অ,4.606558,1.037408,-0.015541,0.006705,0.00646,0.030659,1.033994
0,0,20260704_230207_s0bru0__outer00__inner00__aug02,20260704_230207_s0bru0,train,user1,অ,-4.802119,1.03174,0.044953,-0.035946,0.003414,0.048796,0.930402
0,0,20260704_230207_s0bru0__outer00__inner00__aug03,20260704_230207_s0bru0,train,user1,অ,-3.070391,0.924964,-0.02689,0.048883,0.006424,0.07743,1.233135
0,0,20260704_230243_20ggrl__outer00__inner00__aug01,20260704_230243_20ggrl,train,user1,অ,6.978709,1.028169,0.036665,0.023984,0.005231,0.075946,0.846169
