outer_fold_id,inner_fold_id,sample_id,user_id,label,class_count_in_train,user_count_in_train,sample_weight
0,0,20260703_231939_jmltkn,user1,অ,32,42,0.670263
0,0,20260704_230134_0i7e7o,user1,অ,32,42,0.670263
0,0,20260704_230207_s0bru0,user1,অ,32,42,0.670263
0,0,20260704_230243_20ggrl,user1,অ,32,42,0.670263
0,0,20260704_230314_biogka,user1,অ,32,42,0.670263
0,0,20260704_230343_z76un4,user1,অ,32,42,0.670263
0,0,20260704_230438_1by20a,user1,অ,32,42,0.670263
0,0,20260704_230508_zz8agk,user1,অ,32,42,0.670263
0,0,20260704_230530_8783vw,user1,অ,32,42,0.670263
0,0,20260704_230601_9fuwl5,user1,অ,32,42,0.670263
0,0,20260704_230631_iep9zz,user1,অ,32,42,0.670263
0,0,20260709_222041_giojuy,user1,অ,32,42,0.670263
0,0,20260704_230720_4nlmlz,user1,আ,20,42,0.847823
0,0,20260704_230748_cofjqd,user1,আ,20,42,0.847823
0,0,20260704_230823_p4djtm,user1,আ,20,42,0.847823
0,0,20260704_230900_jm6b9y,user1,আ,20,42,0.847823
0,0,20260704_230941_ogdcp4,user1,আ,20,42,0.847823
0,0,20260704_231010_4ha6y7,user1,আ,20,42,0.847823
0,0,20260728_232136_0wkg0v,user1,আ,20,42,0.847823
0,0,20260728_232203_7c77zv,user1,আ,20,42,0.847823
0,0,20260728_232238_kgwkds,user1,আ,20,42,0.847823
0,0,20260728_232316_s2ep8l,user1,আ,20,42,0.847823
0,0,20260705_210750_hp0ub6,user1,ই,15,42,0.978982
0,0,20260705_210817_cpe63z,user1,ই,15,42,0.978982
0,0,20260705_210847_8d63gb,user1,ই,15,42,0.978982
0,0,20260705_210914_6z0wyv,user1,ই,15,42,0.978982
0,0,20260705_211104_cee4mp,user1,ই,15,42,0.978982
0,0,20260705_211129_q9xd7j,user1,ই,15,42,0.978982
0,0,20260705_211202_fwdefr,user1,ই,15,42,0.978982
0,0,20260705_211229_nco6f5,user1,ই,15,42,0.978982
0,0,20260705_211257_5zxk15,user1,ই,15,42,0.978982
0,0,20260705_211324_69n6hy,user1,ই,15,42,0.978982
0,0,20260705_213721_6edrqn,user1,ঈ,15,42,0.978982
0,0,20260705_213804_scynf9,user1,ঈ,15,42,0.978982
0,0,20260705_213852_tuebtl,user1,ঈ,15,42,0.978982
0,0,20260705_213943_7qqvt7,user1,ঈ,15,42,0.978982
0,0,20260705_214029_z7ddbl,user1,ঈ,15,42,0.978982
0,0,20260705_214107_b894ld,user1,ঈ,15,42,0.978982
0,0,20260705_215457_yruoxw,user1,ঈ,15,42,0.978982
0,0,20260705_215539_dr61qv,user1,ঈ,15,42,0.978982
0,0,20260705_215654_07cd7w,user1,ঈ,15,42,0.978982
0,0,20260705_215745_i5n9h7,user1,ঈ,15,42,0.978982
0,0,20260704_232121_lcxi4y,user2,অ,32,20,0.971303
0,0,20260728_232630_znnts0,user2,অ,32,20,0.971303
0,0,20260728_232652_hdsmyh,user2,অ,32,20,0.971303
0,0,20260728_232714_hincfq,user2,অ,32,20,0.971303
0,0,20260728_232741_j1gvgu,user2,অ,32,20,0.971303
0,0,20260704_232148_mqf5ea,user2,আ,20,20,1.228612
0,0,20260728_232436_9i4gi8,user2,আ,20,20,1.228612
0,0,20260728_232459_m6l3cf,user2,আ,20,20,1.228612
0,0,20260728_232520_l4uaan,user2,আ,20,20,1.228612
0,0,20260728_232556_dwfz7c,user2,আ,20,20,1.228612
0,0,20260704_232218_jf6rio,user2,ই,15,20,1.418679
0,0,20260728_232810_781yo6,user2,ই,15,20,1.418679
0,0,20260728_232836_pvgrxn,user2,ই,15,20,1.418679
0,0,20260728_233118_pcjncu,user2,ই,15,20,1.418679
0,0,20260728_233205_n417cm,user2,ই,15,20,1.418679
0,0,20260704_232243_1fsapx,user2,ঈ,15,20,1.418679
